activity_id,shop_id,shop_name,category,shop_type,credit_score,product_count,final_status,main_reason,review_categories,collision_target,collision_strategy,collision_score,suggestions
ACT-2026-0618,SHOP-001,鑫达数码旗舰店,数码配件,旗舰店,92,3,fail,[duplicate] 高度疑似重复: 店铺名 [鑫达数码旗舰店] 在同一活动重复报名，与记录#4 [SHOP-005] 鑫达数码旗舰店 撞名,,SHOP-005:鑫达数码旗舰店,shop_name_activity_id,95%,店铺名 [鑫达数码旗舰店] 与 [SHOP-005] 鑫达数码旗舰店 撞名，高度疑似重复报名，请人工核实是否为同一主体
ACT-2026-0618,SHOP-002,美丽容颜美妆店,美妆护肤,专营店,85,2,fail,[qualification] 缺少必要资质: 品牌授权书; [product_count] 商品数量不足: 2 < 3; [image] 商品 [防晒霜SPF50] 缺失图片: 详情图; [watch] 关注类目: 美妆护肤，需要加强关注,watch,,,,请尽快上传缺失的资质文件: 品牌授权书，否则无法通过审核; 当前商品数 2，需至少上架 3 件商品参与活动; 请补充缺失图片: 详情图，确保商品展示完整...(+1)
ACT-2026-0618,SHOP-003,健康之源保健品店,保健食品,专营店,72,4,fail,[qualification] 缺少必要资质: 企业营业执照、品牌授权书; [price] 商品 [鱼油软胶囊] 折扣力度不足: 0.0% < 5%; [image] 商品 [鱼油软胶囊] 缺失图片: 详情图; [high_risk] 高风险类目: 保健食品，需要额外审核和资质证明,high_risk,,,,请尽快上传缺失的资质文件: 企业营业执照、品牌授权书，否则无法通过审核; 信用分当前 72，需提升至 80 以上，建议改善店铺经营数据; 请尽快完成实名认证，这是活动报名的硬性要求...(+8)
ACT-2026-0618,SHOP-004,母婴优选商城,婴幼儿奶粉,旗舰店,88,3,review,[high_risk] 高风险类目: 婴幼儿奶粉，需要额外审核和资质证明,high_risk,,,,婴幼儿奶粉 为高风险类目，需提交额外资质证明（如特殊行业许可证），并接受人工复核
ACT-2026-0618,SHOP-005,鑫达数码旗舰店,数码配件,旗舰店,92,3,fail,[duplicate] 高度疑似重复: 店铺名 [鑫达数码旗舰店] 在同一活动重复报名，与记录#0 [SHOP-001] 鑫达数码旗舰店 撞名,,SHOP-001:鑫达数码旗舰店,shop_name_activity_id,95%,店铺名 [鑫达数码旗舰店] 与 [SHOP-001] 鑫达数码旗舰店 撞名，高度疑似重复报名，请人工核实是否为同一主体
ACT-2026-0618,SHOP-006,家居生活馆,家居日用,普通店,90,3,pass,全部通过,,,,,
ACT-2026-0618,SHOP-007,运动达人专营店,运动户外,专营店,78,1,fail,[qualification] 缺少必要资质: 品牌授权书; [product_count] 商品数量不足: 1 < 3; [image] 商品 [跑步鞋] 缺失图片: 详情图,,,,,请尽快上传缺失的资质文件: 品牌授权书，否则无法通过审核; 信用分当前 78，需提升至 80 以上，建议改善店铺经营数据; 当前商品数 1，需至少上架 3 件商品参与活动...(+1)
ACT-2026-0618,SHOP-008,金融理财超市,金融理财,普通店,60,2,fail,[qualification] 缺少必要资质: 企业营业执照、品牌授权书; [product_count] 商品数量不足: 2 < 3; [price] 商品 [投资指南] 价格低于最低限价: 1 < 9.9; [image] 商品 [理财课程] 缺失图片: 详情图; [high_risk] 高风险类目: 金融理财，需要额外审核和资质证明,high_risk,,,,请尽快上传缺失的资质文件: 企业营业执照、品牌授权书，否则无法通过审核; 信用分当前 60，需提升至 80 以上，建议改善店铺经营数据; 请尽快完成实名认证，这是活动报名的硬性要求...(+6)
ACT-2026-0618,SHOP-009,宠物乐园,宠物药品,专营店,82,3,review,[watch] 关注类目: 宠物药品，需要加强关注,watch,,,,宠物药品 为关注类目，建议准备相关合规证明以备查验
ACT-2026-0618,SHOP-010,零食小站,食品零食,普通店,91,4,pass,全部通过,,,,,